question,options,answer,task_label,label,iri,depth,domain
"In the ontology of General Medical Science, which of the following definitions best describes 'specifically dependent continuant'?","A. b is a generically dependent continuant = Def. b is a continuant that g-depends_on one or more other entities. (axiom label in BFO2 Reference: [074-001])

B. b is a specifically dependent continuant = Def. b is a continuant & there is some independent continuant c which is not a spatial region and which is such that b s-depends_on c at every time t during the course of b’s existence. (axiom label in BFO2 Reference: [050-003])

C. An abnormal observable quality of a part of a patient that is hypothesized to be clinically relevant.

D. b is an independent continuant = Def. b is a continuant which is such that there is no c and no t such that b s-depends_on c at t. (axiom label in BFO2 Reference: [017-002])",B,1_1,specifically dependent continuant,http://purl.obolibrary.org/obo/BFO_0000020,3,"Health & Medicine, General Medical Science Ontology"
"In the ontology of General Medical Science, which of the following definitions best describes 'continuant fiat boundary'?","A. A disposition in an organism that constitutes an increased risk of the organism's subsequently developing the disease X.

B. A disease course that (a) does not terminate in a return to normal homeostasis and (b) would, absent intervention, fall within abnormal homeostatic range.

C. b is a continuant fiat boundary = Def. b is an immaterial entity that is of zero, one or two dimensions and does not include a spatial region as part. (axiom label in BFO2 Reference: [029-001])

D. A disease stage characterized by the lack of symptoms associated with a given disease",C,1_1,continuant fiat boundary,http://purl.obolibrary.org/obo/BFO_0000140,5,"Health & Medicine, General Medical Science Ontology"
"In the ontology of General Medical Science, which of the following definitions best describes 'process boundary'?","A. A disease whose physical basis is a constitutional genetic disorder.

B. p is a process boundary =Def. p is a temporal part of a process & p has no proper temporal parts. (axiom label in BFO2 Reference: [084-001])

C. p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])

D. A therapeutic procedure that uses radiation.",B,1_1,process boundary,http://purl.obolibrary.org/obo/BFO_0000035,3,"Health & Medicine, General Medical Science Ontology"
"In the ontology of General Medical Science, which of the following definitions best describes 'process profile'?","A. a part of an occurrence of a disease process which is associated with position in the normal progression of the disease

B. A process that realizes a plan which is the concretization of a plan specification.

C. b is a process_profile =Def. there is some process c such that b process_profile_of c (axiom label in BFO2 Reference: [093-002])

D. An abnormal processual entity occuring in a patient that is hypothesized to be clinically relevant.",C,1_1,process profile,http://purl.obolibrary.org/obo/BFO_0000144,4,"Health & Medicine, General Medical Science Ontology"
"In the ontology of General Medical Science, which of the following definitions best describes 'relational quality'?","A. A (combination of) quality(ies) of an organism determined by the interaction of its genetic make-up and environment that differentiates specific instances of a species from other instances of the same species.

B. A quality of a patient that is (a) a deviation from clinical normality that exists in virtue of the realization of a disease and (b) is observable.

C. A pattern of signs and symptoms that typically co-occur.

D. b is a relational quality = Def. for some independent continuants c, d and for some time t: b quality_of c at t & b quality_of d at t. (axiom label in BFO2 Reference: [057-001])",D,1_1,relational quality,http://purl.obolibrary.org/obo/BFO_0000145,5,"Health & Medicine, General Medical Science Ontology"
"In the ontology of General Medical Science, which of the following definitions best describes 'data item'?","A. An information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.

B. A generically dependent continuant that is about some thing.

C. A hypothesis about some future part of a disease course.

D. A data item that is about a patient and is the specified output of a health care process assay or diagnostic process",A,1_1,data item,http://purl.obolibrary.org/obo/IAO_0000027,5,"Health & Medicine, General Medical Science Ontology"
"In the ontology of General Medical Science, which of the following definitions best describes 'curation status specification'?","A. Data about an ontology part is a data item about a part of an ontology, for example a term

B. A denotator type indicates how a term should be interpreted from an ontological perspective.

C. The reason for which a term has been deprecated. The allowed values come from an enumerated list of predefined terms. See the specification of these instances for more detailed definitions of each enumerated value.

D. The curation status of the term. The allowed values come from an enumerated list of predefined terms. See the specification of these instances for more detailed definitions of each enumerated value.",D,1_1,curation status specification,http://purl.obolibrary.org/obo/IAO_0000078,7,"Health & Medicine, General Medical Science Ontology"
"In the ontology of General Medical Science, which of the following definitions best describes 'data about an ontology part'?","A. A hypothesis about some future part of a disease course.

B. Data about an ontology part is a data item about a part of an ontology, for example a term

C. The curation status of the term. The allowed values come from an enumerated list of predefined terms. See the specification of these instances for more detailed definitions of each enumerated value.

D. The reason for which a term has been deprecated. The allowed values come from an enumerated list of predefined terms. See the specification of these instances for more detailed definitions of each enumerated value.",B,1_1,data about an ontology part,http://purl.obolibrary.org/obo/IAO_0000102,6,"Health & Medicine, General Medical Science Ontology"
"In the ontology of General Medical Science, which of the following definitions best describes 'base ontology module'?","A. An ontology module that comprises only of asserted axioms local to the ontology, excludes import directives, and excludes axioms or declarations from external ontologies.

B. An ontology module that is intended to be the primary release product and the one consumed by the majority of tools.

C. An ontology module that is extracted from a main ontology module and includes only a subset of entities or axioms.

D. An ontology module that is automatically generated, for example via a SPARQL query or via template and a CSV.",A,1_1,base ontology module,http://purl.obolibrary.org/obo/IAO_8000001,8,"Health & Medicine, General Medical Science Ontology"
"In the ontology of General Medical Science, which of the following definitions best describes 'editors ontology module'?","A. An ontology module that is intended to be directly edited, typically managed in source control, and typically not intended for direct consumption by end-users.

B. An ontology module that contains axioms generated by a reasoner. The generated axioms are typically direct SubClassOf axioms, but other possibilities are available.

C. An ontology module that is extracted from a main ontology module and includes only a subset of entities or axioms.

D. An ontology module that is intended to be the primary release product and the one consumed by the majority of tools.",A,1_1,editors ontology module,http://purl.obolibrary.org/obo/IAO_8000002,8,"Health & Medicine, General Medical Science Ontology"
"In the ontology of General Medical Science, which of the following definitions best describes 'main release ontology module'?","A. An ontology module that is intended to be directly edited, typically managed in source control, and typically not intended for direct consumption by end-users.

B. An ontology module that is intended to be the primary release product and the one consumed by the majority of tools.

C. An ontology module that comprises only of asserted axioms local to the ontology, excludes import directives, and excludes axioms or declarations from external ontologies.

D. An ontology module that is extracted from a main ontology module and includes only a subset of entities or axioms.",B,1_1,main release ontology module,http://purl.obolibrary.org/obo/IAO_8000003,8,"Health & Medicine, General Medical Science Ontology"
"In the ontology of General Medical Science, which of the following definitions best describes 'bridge ontology module'?","A. An ontology module that consists entirely of axioms that connect or bridge two distinct ontology modules. For example, the Uberon-to-ZFA bridge module.

B. An ontology module that contains axioms generated by a reasoner. The generated axioms are typically direct SubClassOf axioms, but other possibilities are available.

C. An ontology module that is intended to be directly edited, typically managed in source control, and typically not intended for direct consumption by end-users.

D. An ontology module that is extracted from a main ontology module and includes only a subset of entities or axioms.",A,1_1,bridge ontology module,http://purl.obolibrary.org/obo/IAO_8000004,8,"Health & Medicine, General Medical Science Ontology"
"In the ontology of General Medical Science, which of the following definitions best describes 'import ontology module'?","A. An imported ontology module that is derived from an external ontology. Derivation methods include the OWLAPI SLME approach.

B. A subset of an ontology that is intended to be excluded for some purpose. For example, a blacklist of classes.

C. A subset ontology that is intended as a whitelist for curators using the ontology. Such a subset will exclude classes that curators should not use for curation.

D. A subset ontology module that is intended to be imported from another ontology.",D,1_1,import ontology module,http://purl.obolibrary.org/obo/IAO_8000005,9,"Health & Medicine, General Medical Science Ontology"
"In the ontology of General Medical Science, which of the following definitions best describes 'subset ontology module'?","A. An ontology module that comprises only of asserted axioms local to the ontology, excludes import directives, and excludes axioms or declarations from external ontologies.

B. An ontology module that consists entirely of axioms that connect or bridge two distinct ontology modules. For example, the Uberon-to-ZFA bridge module.

C. An ontology module that is extracted from a main ontology module and includes only a subset of entities or axioms.

D. An ontology module that contains axioms generated by a reasoner. The generated axioms are typically direct SubClassOf axioms, but other possibilities are available.",C,1_1,subset ontology module,http://purl.obolibrary.org/obo/IAO_8000006,8,"Health & Medicine, General Medical Science Ontology"
"In the ontology of General Medical Science, which of the following definitions best describes 'curation subset ontology module'?","A. A subset of an ontology that is intended to be excluded for some purpose. For example, a blacklist of classes.

B. A subset ontology that is intended as a whitelist for curators using the ontology. Such a subset will exclude classes that curators should not use for curation.

C. An ontology module that is intended for usage in analysis or discovery applications.

D. A subset ontology module that is intended to be imported from another ontology.",B,1_1,curation subset ontology module,http://purl.obolibrary.org/obo/IAO_8000007,9,"Health & Medicine, General Medical Science Ontology"
"In the ontology of General Medical Science, which of the following definitions best describes 'analysis subset ontology module'?","A. A subset ontology that is largely comprised of a single layer or strata in an ontology class hierarchy. The purpose is typically for rolling up for visualization. The classes in the layer need not be disjoint.

B. A subset ontology that is crafted to either include or exclude a taxonomic grouping of species.

C. An ontology module that is intended for usage in analysis or discovery applications.

D. A subset ontology that is intended as a whitelist for curators using the ontology. Such a subset will exclude classes that curators should not use for curation.",C,1_1,analysis subset ontology module,http://purl.obolibrary.org/obo/IAO_8000008,9,"Health & Medicine, General Medical Science Ontology"
"In the ontology of General Medical Science, which of the following definitions best describes 'single layer subset ontology module'?","A. A subset ontology that is largely comprised of a single layer or strata in an ontology class hierarchy. The purpose is typically for rolling up for visualization. The classes in the layer need not be disjoint.

B. An ontology module that is intended for usage in analysis or discovery applications.

C. A subset of an ontology that is intended to be excluded for some purpose. For example, a blacklist of classes.

D. A subset ontology module that is intended to be imported from another ontology.",A,1_1,single layer subset ontology module,http://purl.obolibrary.org/obo/IAO_8000009,9,"Health & Medicine, General Medical Science Ontology"
"In the ontology of General Medical Science, which of the following definitions best describes 'exclusion subset ontology module'?","A. A subset of an ontology that is intended to be excluded for some purpose. For example, a blacklist of classes.

B. A subset ontology module that is intended to be imported from another ontology.

C. A subset ontology that is intended as a whitelist for curators using the ontology. Such a subset will exclude classes that curators should not use for curation.

D. An ontology module that is intended for usage in analysis or discovery applications.",A,1_1,exclusion subset ontology module,http://purl.obolibrary.org/obo/IAO_8000010,9,"Health & Medicine, General Medical Science Ontology"
"In the ontology of General Medical Science, which of the following definitions best describes 'species subset ontology module'?","A. A subset ontology that is largely comprised of a single layer or strata in an ontology class hierarchy. The purpose is typically for rolling up for visualization. The classes in the layer need not be disjoint.

B. A subset ontology that is intended as a whitelist for curators using the ontology. Such a subset will exclude classes that curators should not use for curation.

C. A subset ontology that is crafted to either include or exclude a taxonomic grouping of species.

D. A subset of an ontology that is intended to be excluded for some purpose. For example, a blacklist of classes.",C,1_1,species subset ontology module,http://purl.obolibrary.org/obo/IAO_8000012,9,"Health & Medicine, General Medical Science Ontology"
