question,options,answer,task_label,label,iri,depth,domain
"In the ontology of Addiction, which of the following definitions best describes 'point prevalence tobacco smoking abstinence'?","A. Tobacco smoking abstinence that lasts for a defined period of time.

B. A process boundary that involves the end of a period of tobacco use.

C. An oxide in which the oxygen atom is bonded to a carbon atom.

D. Point prevalence tobacco smoking abstinence that lasts for 7 days prior to a time point.",A,1_1,point prevalence tobacco smoking abstinence,http://addictovocab.org/ADDICTO_0000697,5,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'adolescent'?","A. A person whose identity is female, based on societal and cultural conceptualizations of being female, usually (but not always) reflected by specific anatomical variations, chromosome combinations, and/or sex hormones.

B. A person who has never smoked tobacco.

C. A person who is undergoing the developmental stage of transition from childhood to adulthood.

D. A person whose age is less than that of an adult.",C,1_1,adolescent,http://addictovocab.org/ADDICTO_0000523,7,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'alcohol consumption'?","A. A substance use behaviour that involves drinking an alcohol-containing product.

B. Alcohol consumption in which the person consuming an alcohol-containing product does so with no-one else present in the same location.

C. Alcohol consumption by an adolescent.

D. A substance use behaviour that involves ingesting constituents of a tobacco-containing product.",A,1_1,alcohol consumption,http://humanbehaviourchange.org/ontology/BCIO_050376,9,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'consumption behaviour pattern'?","A. A consumption behaviour pattern in which the behaviour is repeated in a session to an extent that is excessive.

B. A consumption behaviour pattern involving use of a substance containing alcohol concurrently with use of a psychoactive substance that has not been legally sanctioned in the jurisdiction in which the user resides.

C. An individual human behaviour pattern that involves consumption behaviour.

D. A consumption behaviour pattern involving repeated occurrences of binge behaviour sessions.",C,1_1,consumption behaviour pattern,http://humanbehaviourchange.org/ontology/BCIO_050210,6,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'consumption behaviour'?","A. An individual human behaviour that relates to a material entity.

B. The first instance of alcohol consumption.

C. A consumption behaviour that involves breathing in a material through the nose or mouth.

D. A material entity-related behaviour that involves ingesting material into the body.",D,1_1,consumption behaviour,http://humanbehaviourchange.org/ontology/BCIO_036061,7,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'alcohol consumption reduction'?","A. A reduction in alcohol consumption.

B. A material entity-related behaviour that involves ingesting material into the body.

C. The first instance of alcohol consumption.

D. A change quantity or pattern of alcohol consumption.",A,1_1,alcohol consumption reduction,http://addictovocab.org/ADDICTO_0000116,8,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'alcohol misuse'?","A. A change quantity or pattern of alcohol consumption.

B. Consumption of alcohol in a manner that is deemed unacceptable in the jurisdiction in which the user resides.

C. A consumption behaviour that involves ingestion of a drug.

D. A consumption behaviour that involves breathing in a material through the nose or mouth.",B,1_1,alcohol misuse,http://addictovocab.org/ADDICTO_0000119,8,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'process profile'?","A. A <process> in which at least one bodily component of an organism participates.

B. A process that involves a person and of which the person has some subjective experience of what is occurring, either at the time or later.

C. A process that involves repeated occurrences of a behaviour.

D. b is a process_profile =Def. there is some process c such that b process_profile_of c (axiom label in BFO2 Reference: [093-002])",D,1_1,process profile,http://purl.obolibrary.org/obo/BFO_0000144,4,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'process boundary'?","A. An entity that has temporal parts and that happens, unfolds or develops through time.

B. p is a process boundary =Def. p is a temporal part of a process & p has no proper temporal parts. (axiom label in BFO2 Reference: [084-001])

C. An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t.

D. The process boundary when a process or temporal region starts.",B,1_1,process boundary,http://purl.obolibrary.org/obo/BFO_0000035,3,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'product-use behaviour'?","A. A person with COPD that reports being a current smoker.

B. Product use behaviour that is harmful.

C. Object-using behaviour that involves use of a product.

D. A material entity-related behaviour that uses a non-living object.",C,1_1,product-use behaviour,http://addictovocab.org/ADDICTO_0000137,8,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'confidence interval'?","A. A quantitative confidence value that is used in Bayesian analysis to describe the range in which a posterior probability estimate is likely to reside.

B. A quantitative confidence value that refers to an interval give values within which there is a high probability (95 percent by convention) that the true population value can be found. The calculation of a confidence interval considers the standard deviation of the data and the number of observations. Thus, a confidence interval narrows as the number of observations increases, or its variance (dispersion) decreases.

C. A data item which is used to indicate the degree of uncertainty about a measurement.

D. An enzyme inhibitor which interferes with the action of an oxidoreductase (EC 1.*.*.*).",B,1_1,confidence interval,http://addictovocab.org/ADDICTO_0000147,10,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'quantitative confidence value'?","A. A quantitative confidence value that refers to an interval give values within which there is a high probability (95 percent by convention) that the true population value can be found. The calculation of a confidence interval considers the standard deviation of the data and the number of observations. Thus, a confidence interval narrows as the number of observations increases, or its variance (dispersion) decreases.

B. A data item which is used to indicate the degree of uncertainty about a measurement.

C. A data item which is the ratio of observed deaths in the study group to expected deaths in the general population.

D. A data item that is derived from an inferential statistical data analysis.",B,1_1,quantitative confidence value,http://purl.obolibrary.org/obo/OBI_0000071,9,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'research activity'?","A. Research activity about addiction.

B. A planned process that has the aim of influencing an outcome.

C. A planned process which results in physical changes in a specified input material.

D. A planned process executed in the performance of scientific research wherein systematic investigations are performed to establish facts and reach new conclusions about phenomena in the world.",D,1_1,research activity,http://purl.obolibrary.org/obo/SEPIO_0000004,5,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'document'?","A. An information content entity whose concretizations indicate to their bearer how to realize them in a process.

B. A collection of information content entities intended to be understood together as a whole

C. An information content entity that is about the use of multiple brands for the same product in order to increase the market for that product.

D. An information content entity that is an aggregate of documents.",B,1_1,document,http://purl.obolibrary.org/obo/IAO_0000310,5,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'questionnaire administration'?","A. A process in which use of a product delivering a psychoactive substance increases the likelihood of use of another product delivering a psychoactive substance.

B. A process that is produced by a person.

C. An aggregate of individual human behaviours of members of a population.

D. A process in which answers to questions in a questionnaire are obtained.",D,1_1,questionnaire administration,http://addictovocab.org/ADDICTO_0000151,4,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'research measure'?","A. An information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.

B. A generically dependent continuant that is about some thing.

C. An information content entity that is used in a research study to specify how a measurement should be undertaken.

D. A research measure that has been subjected to evaluation for one or more forms of validity and which it is claimed has reached or exceeded an appropriate threshold on that criterion.",C,1_1,research measure,http://addictovocab.org/ADDICTO_0000152,5,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'research study measurement'?","A. A planned process that has the aim of influencing an outcome.

B. A planned process with the objective to improve the health status of a patient that directly involves the treatment, diagnosis, or prevention of disease or injury of a patient

C. A planned process which results in physical changes in a specified input material.

D. A planned process that has as its output a data item corresponding to a quantitative or qualitative description of the attributes of an entity.",D,1_1,research study measurement,http://addictovocab.org/ADDICTO_0000153,5,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'planned process'?","A. A process that realizes a plan which is the concretization of a plan specification.

B. A planned process that has the aim of influencing an outcome.

C. A <process> in which at least one bodily component of an organism participates.

D. A process that is causally influenced by consumption of alcohol by a person.",A,1_1,planned process,http://purl.obolibrary.org/obo/OBI_0000011,4,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'measurement datum'?","A. A data item describing how often a person has engaged in a binge drinking session within the past 30 days.

B. A data item that is about human age and is expressed in years rounded down.

C. A measurement datum is an information content entity that is a recording of the output of a measurement such as produced by a device.

D. A data item which indicates the number of alcoholic drinks consumed per week.",C,1_1,measurement datum,http://purl.obolibrary.org/obo/IAO_0000109,6,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'temporal start'?","A. The process boundary when a process or temporal region starts.

B. The process boundary at the beginning of a follow-up period.

C. A process boundary that involves the end of a period of tobacco use.

D. A process boundary that involves restarting a behaviour pattern after a period of abstinence from that behaviour pattern.",A,1_1,temporal start,http://addictovocab.org/ADDICTO_0000157,4,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes '3-way statistical interaction'?","A. A statistical interaction between three variables.

B. A statistical parameter that describes the extent and manner in which two or more variables combine to influence or predict an outcome variable.

C. A statistical interaction between two variables.

D. A reference to a place on the Earth, by its name or by its geographical location",A,1_1,3-way statistical interaction,http://addictovocab.org/ADDICTO_0000158,8,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'scientific model'?","A. A generically dependent continuant that is a representation or abstraction of a portion of reality, is created by a cognitive agent or group of agents through a process of scientific enquiry, and serves to explain, predict or describe phenomena within a specified domain.

B. A generically dependent continuant that is about some thing.

C. A continuant that is dependent on one or other independent continuant bearers. For every instance of A requires some instance of (an independent continuant type) B but which instance of B serves can change from time to time.

D. Funding that originates from one or more tobacco companies.",A,1_1,scientific model,http://addictovocab.org/ADDICTO_0000159,4,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'addiction relapse case'?","A. A data item that is about the amount and quality of human and physical resources available to the inhabitants of a geospatial region.

B. A data item that is about the quantity and frequency of alcohol consumption of a person.

C. A data item that represents a human being who has received an intervention intended to result in cessation of an addictive behaviour and who, after a period of abstinence, has resumed the behaviour.

D. A data item which indicates the number of days per week a person has drunk alcohol to levels which are considered to be excessive.",C,1_1,addiction relapse case,http://addictovocab.org/ADDICTO_0000160,6,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'data item'?","A. An information content entity that specifies the amount of a drug in a single item of a drug preparation.

B. A data item that represents a human being who has received an intervention intended to result in cessation of an addictive behaviour and who, after a period of abstinence, has resumed the behaviour.

C. A data item that describes the percentage of study participants for whom a measurement is taken at a follow-up point.

D. An information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.",D,1_1,data item,http://purl.obolibrary.org/obo/IAO_0000027,5,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'follow-up period'?","A. A temporal region during which a follow-up occurs.

B. The temporal extent that a behavioural process projects into.

C. especially one of the three months of gestation into which a human pregnancy is divided.

D. A temporal region between a research activity and a follow-up.",D,1_1,follow-up period,http://addictovocab.org/ADDICTO_0000167,4,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'work absence register'?","A. A data item which indicates the number of alcoholic drinks consumed per day.

B. A data item that is output from a statistical analysis describing a feature of a data set.

C. A database documenting absence from work

D. A data item that is the number of cigarettes that are sold in a packet of cigarettes.",C,1_1,work absence register,http://addictovocab.org/ADDICTO_0000173,6,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'personal stake'?","A. A sample is a substance role played by a biological substance as an input substance to a protocol.

B. A personal attribute that involves an outcome of value to that person arising from a process.

C. A product that is used by a person for the purpose of quitting smoking.

D. A role that inheres in some material entity and is realized in some act of appraisal.",B,1_1,personal stake,http://addictovocab.org/ADDICTO_0000179,6,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'population-level harm from product use'?","A. A data item that is the percentage of study participants for whom measurements are not taken at a follow-up.

B. A process aggregate of harm processes affecting some members of a population caused by product use by some members of the population.

C. A data item that is derived from a statistical data analysis.

D. A data item describing how often a person has engaged in a binge drinking session within the past 30 days.",B,1_1,population-level harm from product use,http://addictovocab.org/ADDICTO_0000185,6,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'individual-level relative harmfulness to health of a product'?","A. A data item which is about the amount of cigarette smoking a person does and is the average number of cigarettes smoked per day by a person over a period.

B. A data item that is about how many times the person has attempted to stop tobacco smoking in the past year.

C. A data item that is about the amount of harm to health caused by an individual using a product relative to other products.

D. A data item describing how often a person has engaged in a binge drinking session within the past 30 days.",C,1_1,individual-level relative harmfulness to health of a product,http://addictovocab.org/ADDICTO_0000187,6,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'abuse potential of a substance'?","A. A product disposition that is realised as harm processes resulting from its use.

B. Product harm potential from a population using a product.

C. A psychoactive substance disposition that is its propensity to lead people who use the substance to develop a harmful pattern of consumption.

D. Product harm potential from an individual using the product.",C,1_1,abuse potential of a substance,http://addictovocab.org/ADDICTO_0000188,8,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'adjustable power e-cigarette atomiser'?","A. An e-cigarette atomiser that is designed to be replaceable.

B. A product that is manufactured to be part of an e-cigarette and to heat e-liquid during e-cigarette use to produce a vapour.

C. An e-cigarette atomiser which has only one power level.

D. An e-cigarette atomiser which the user can adjust to different levels of power.",D,1_1,adjustable power e-cigarette atomiser,http://addictovocab.org/ADDICTO_0000190,9,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'central nervous system depressant'?","A. A central nervous system depressant that is used to prevent seizures or reduce their severity.

B. A loosely defined grouping of drugs that have effects on psychological function.

C. A class of drugs producing both physiological and psychological effects through a variety of mechanisms involving the central nervous system.

D. A loosely defined group of drugs that tend to reduce the activity of the central nervous system.",D,1_1,central nervous system depressant,http://purl.obolibrary.org/obo/CHEBI_35488,10,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'chewing tobacco product'?","A. An oral tobacco-containing product that is composed mainly or exclusively of moist, ground or powdered tobacco that is processed to make it suitable for use by a person placing it in the mouth between the gum and the cheek.

B. An oral tobacco-containing product that is manufactured to be chewed.

C. A smokeless tobacco-containing product that is manufactured to be held in the mouth.

D. An architectural structure that bears some function.",B,1_1,chewing tobacco product,http://addictovocab.org/ADDICTO_0000198,11,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'oral tobacco-containing product'?","A. A smokeless tobacco-containing product that is designed for oral use, in which air- or fire-cured burley tobacco leaf is treated with a tar-like tobacco leaf extract and sometimes sweeteners and other flavourings, then twisted into rope-like strands that are dried and braided.

B. A smokeless tobacco-containing product that is manufactured to be held in the mouth.

C. A smokeless tobacco-containing product that is designed for oral use, in which the tobacco leaf, stems, and seeds are fermented, air- and/or fire-cured, mixed with different flavourings, augmented with stimulants (caffeine, ginseng), taurine, and vitamins B and C, and processed into moist fine particles (fine cut) or strips (long cut).

D. A smokeless tobacco containing product that is designed for oral use, in which tobacco, slaked lime, ash, black pepper, oil, flavourings, bombosa (sodium carbonate) are mixed to form a dry product.",B,1_1,oral tobacco-containing product,http://addictovocab.org/ADDICTO_0001203,10,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'combustible tobacco-containing product'?","A. A tobacco-containing product that consists of chopped tobacco processed in a way to make it suitable for including in a hand-rolled cigarette.

B. A tobacco-containing product in which the tobacco is processed to enable absorption of a some tobacco constituent through an epithelial membrane.

C. A tobacco-containing product in which the tobacco is processed to make it suitable for burning for the user to take the smoke into the body.

D. A combustible tobacco-containing product that is a cylinder formed of chopped tobacco encased in tobacco leaf.",C,1_1,combustible tobacco-containing product,http://addictovocab.org/ADDICTO_0000207,9,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'cigarette smoke'?","A. A mixed study design in which two or more groups experience the same study processes but in a different order.

B. A drug that has a marketing authorisation from a medicines regulatory agency.

C. Smoke that is produced through the use of a cigarette.

D. Smoke that is produced through the burning of tobacco.",C,1_1,cigarette smoke,http://addictovocab.org/ADDICTO_0000203,9,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'chemical substance'?","A. A chemical substance that is manufactured for use as part of an e-liquid.

B. A chemical substance is a portion of matter of constant composition, composed of molecular entities of the same type or of different types.

C. A chemical entity is a physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances.

D. A chemical substance that is designed to be part of an e-liquid to impart a flavour to the vapour produced when the e-liquid is used in an e-cigarette.",B,1_1,chemical substance,http://purl.obolibrary.org/obo/CHEBI_59999,6,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'tobacco-containing product'?","A. A product that is made of tobacco or has tobacco as a part and is used by people to take some tobacco constituent into the body.

B. A product that is an e-cigarette part and is designed to be placed to the mouth of the user through which to inhale the vapour.

C. A product that is manufactured to be part of a cigarette, located at the end that the user puts to the lips, which blocks some smoke particles from entering the mouth during use.

D. An artifact that has a product role.",A,1_1,tobacco-containing product,http://addictovocab.org/ADDICTO_0000311,8,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'product'?","A. A product that is manufactured to be part of a cigarette, located at the end that the user puts to the lips, which blocks some smoke particles from entering the mouth during use.

B. An artifact that has a product role.

C. A product that is designed to be an e-cigarette part that is a container to hold e-liquid.

D. An object that is designed by humans to fulfil some function.",B,1_1,product,http://addictovocab.org/ADDICTO_0000279,7,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'e-cigarette battery power'?","A. A disposition inhering in an e-cigarette battery.

B. An e-cigarette battery disposition to transfer electrical energy in a circuit containing an atomiser.

C. A cannabis user who uses cannabis products daily.

D. A subjective affective feeling that is a strong feeling of desire or a strong feeling of urge.",B,1_1,e-cigarette battery power,http://addictovocab.org/ADDICTO_0001198,7,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'e-cigarette brand'?","A. A brand that is applied to a manufactured cigarette.

B. A data item which indicates the number of days a person has remained abstinent from a particular substance or behaviour.

C. An information content entity that is used by a person or organisation to denote and promote a product.

D. A brand of e-cigarette.",D,1_1,e-cigarette brand,http://addictovocab.org/ADDICTO_0000215,6,"Health & Medicine, Addiction Ontology"
"In the ontology of Addiction, which of the following definitions best describes 'e-cigarette fire'?","A. A method that results in the separation of two or more components according to some property.

B. Any organonitrogen heterocyclic compound based on a pyridine skeleton and its substituted derivatives.

C. A fire that is caused by malfunction of an e-cigarette or a part of an e-cigarette.

D. A fire is a process whereby rapid and exothermic oxidation of a material through a combustion process releases heat, light, and other products.",C,1_1,e-cigarette fire,http://addictovocab.org/ADDICTO_0000217,9,"Health & Medicine, Addiction Ontology"
