question,options,answer,task_label,label,iri,depth,domain
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'Alzheimer's disease'?","A. An Alzheimer's disease that is characterized by an associated with mutations in the gene TREM2.

B. A tauopathy that is characterized by memory lapses, confusion, emotional instability and progressive loss of mental ability and results in progressive memory loss, impaired thinking, disorientation, and changes in personality and mood starting and leads in advanced cases to a profound decline in cognitive and physical functioning and is marked histologically by the degeneration of brain neurons especially in the cerebral cortex and by the presence of neurofibrillary tangles and plaques containing beta-amyloid.

C. A disease of which the patient at this stage suffer from memory loss, impaired ability to think, or making decisions that interferes with doing everyday activities.

D. An Alzheimer's disease that is characterized by an associated with a risk allele in in the PCDH11X gene on chromosome Xq21.3.",B,1_1,Alzheimer's disease,http://purl.obolibrary.org/obo/DOID_10652,12,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'Early-stage Alzheimer's Disease (mild)'?","A. A disease at late stage where dementia symptoms are severe. Individuals lose the ability to respond to their environment, to carry on a conversation and, eventually, to control movement. They may still say words or phrases, but communicating pain becomes difficult. As memory and cognitive skills continue to worsen, significant personality changes may take place and individuals need extensive care.

B. a part of an occurrence of a disease process which is associated with position in the normal progression of the disease

C. A stage where symptoms have a gradual onset over months to years but with harmful effects, not sudden within hours or days.

D. A disease stage at which a person may function independently. He or she may still drive, work and be a part of social activities. Despite this, the person may feel as if he or she is having memory lapses, such as forgetting familiar words or the location of everyday objects.",D,1_1,Early-stage Alzheimer's Disease (mild),http://purl.obolibrary.org/obo/ADO_0000025,5,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'Middle-stage Alzheimer's Disease (moderate)'?","A. A disease in the middle stage where the dementia symptoms are more pronounced. The person may confuse words, get frustrated or angry, and act in unexpected ways, such as refusing to bathe. Damage to nerve cells in the brain can also make it difficult for the person to express thoughts and perform routine tasks without assistance.

B. A stage where symptoms have a gradual onset over months to years but with harmful effects, not sudden within hours or days.

C. A disease stage at which a person may function independently. He or she may still drive, work and be a part of social activities. Despite this, the person may feel as if he or she is having memory lapses, such as forgetting familiar words or the location of everyday objects.

D. a part of an occurrence of a disease process which is associated with position in the normal progression of the disease",A,1_1,Middle-stage Alzheimer's Disease (moderate),http://purl.obolibrary.org/obo/ADO_0000032,5,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'Late-stage Alzheimer's Disease(severe)'?","A. A stage where cognitive impiarment suddenly arises

B. A disease in the middle stage where the dementia symptoms are more pronounced. The person may confuse words, get frustrated or angry, and act in unexpected ways, such as refusing to bathe. Damage to nerve cells in the brain can also make it difficult for the person to express thoughts and perform routine tasks without assistance.

C. A disease at late stage where dementia symptoms are severe. Individuals lose the ability to respond to their environment, to carry on a conversation and, eventually, to control movement. They may still say words or phrases, but communicating pain becomes difficult. As memory and cognitive skills continue to worsen, significant personality changes may take place and individuals need extensive care.

D. A disease stage at which a person may function independently. He or she may still drive, work and be a part of social activities. Despite this, the person may feel as if he or she is having memory lapses, such as forgetting familiar words or the location of everyday objects.",C,1_1,Late-stage Alzheimer's Disease(severe),http://purl.obolibrary.org/obo/ADO_0000042,5,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'mild cognitive impairment due to Alzheimer's disease'?","A. A stage of Alzheimer's disease where symptoms appear such as concern regarding a change in cognition (raised either by the patient himself/herself or by an informant who knows the patient well), impairment in one or more cognitive domains, preservation of independence in functional abilities and other non-demented symptoms.

B. A disease stage of Alzheimer's disease that begins long before any symptoms become apparent. The symptoms go unnoticed by the patients and people around them and this stage can last for years, possibly even decades.

C. Any Alzheimer disease in which the cause of the disease is a mutation in the ADAM10 gene.

D. A degenerative disease of the brain that causes gradual loss of memory, judgment, and the ability to function socially. About 25% of all Alzheimer disease is familial (more than 2 people in a family have AD). When Alzheimer disease begins before 60 or 65 years of age (early-onset AD) about 60% of the cases are familial (also known as Early-onset familial AD). These cases appear to be inherited in an autosomal dominant manner.",A,1_1,mild cognitive impairment due to Alzheimer's disease,http://purl.obolibrary.org/obo/ADO_0000049,13,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'Longitudinal Study'?","A. Comparison of outcomes, results, responses, etc for different techniques, therapeutic approaches or other inputs.

B. Research conducted with human subjects or on material of human origin in which an investigator directly interacts with human subjects; includes development of new technologies, study of mechanisms of human diseases, therapy, clinical trials, epidemiologic, behavior, and health services research.

C. A study in which participants with no known disease are initially assessed, and then reassessed for the same characteristic at mutiple timepoints in the future.

D. A clinical study that is designed using a procedure in which one or more parties to the study [subject(s), investigator(s), monitor, or/and data analyst(s)] are kept unaware of the treatment assignment(s).",C,1_1,Longitudinal Study,http://purl.obolibrary.org/obo/NCIT_C15273,7,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'probable Alzheimer dementia'?","A. A type of dementia which which the person meets the core clinical creteria for probable Alzheimer dementia.

B. A type of Alzheimer dementia whic meets core clinical criteria for possible Alzheimer dementia

C. A disease of which the patient at this stage suffer from memory loss, impaired ability to think, or making decisions that interferes with doing everyday activities.

D. the part of the execution of an intervention design study which is varied between two or more subjects in the study",A,1_1,probable Alzheimer dementia,http://purl.obolibrary.org/obo/ADO_0000059,14,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'ratio'?","A. a data item is an information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.

B. A generically dependent continuant that is about some thing.

C. A ratio is a data item which is formed with two numbers r and s is written r/s, where r is the numerator and s is the denominator. The ratio of r to s is equivalent to the quotient r/s.

D. Odds ratio is a ratio that measures effect size, that is the strength of association between 2 dichotomous variables, one describing an exposure and one describing an outcome.	It represents the odds that an outcome will occur given a particular exposure, compared to the odds of the outcome occurring in the absence of that exposure ( the probability of the event occuring divided by the probability of an event not occurring). The odds ratio is a ratio of describing the strength of association or non-independence between two binary data values by forming the ratio of the odds for the first group and the odds for the second group. Odds ratio are used when one wants to compare the odds of something occurring to two different groups.",C,1_1,ratio,http://purl.obolibrary.org/obo/STATO_0000184,5,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'APOE genotype test'?","A. Any method that uses a visual display of structural or functional patterns of organs or tissues for diagnostic evaluation.

B. Material anatomical entity which is generated by coordinated expression of the organism's own genes that guide its morphogenesis; has inherent 3D shape; its parts are connected and spatially related to one another in patterns determined by coordinated gene expression. Examples: heart, right ventricle, mitral valve, myocardium, endothelium, lymphocyte, fibroblast, thorax, cardiovascular system, hemoglobin, T cell receptor.

C. A technique used to determine the specific apolipoprotein E (APOE) genotypes in patients with type III hyperlipoproteinemia

D. A member of the class of tetralins that is tetralin which is substituted at positions 1 and 4 by a methylamino and a 3,4-dichlorophenyl group, respectively (the S,S diastereoisomer). A selective serotonin-reuptake inhibitor (SSRI), it is administered orally as the hydrochloride salt as an antidepressant for the treatment of depression, obsessive-compulsive disorder, panic disorder and post-traumatic stress disorder.",C,1_1,APOE genotype test,http://purl.obolibrary.org/obo/ADO_0000071,9,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'beta-secretase 1 measurement'?","A. The primary measurement(s) or observation(s) used to measure the effect of experimental variables in a study, or for observational studies, to describe patterns of diseases or traits or associations with exposures, risk factors or treatment. These are the outcome measures used to assess the primary objective(s).

B. Other key measures that will be used to evaluate the intervention(s) or, for observational studies, that are a focus of the study. These are the outcome measures used to assess the secondary objective(s).

C. A result from clinical assessment that characterizes presence of abnormal amyloid found with cerebrospinal fluid (CSF) and/or positron emission tomography (PET)

D. A measurement that quantifies the amount of beta-secretase 1 (BACE1) normally found in blood or cerebrospinal fluid. The quantification of the amount of beta-secretase 1 in a sample, typicallly cerebrospinal fluid. Beta-secretase-1 is an aspartic-acid protease important in the formation of myelin sheaths in peripheral nerve cells, and is thought to have a role in Alzheimer's disease pathogenesis.",D,1_1,beta-secretase 1 measurement,http://purl.obolibrary.org/obo/ADO_0000073,8,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'Cambridge Neuropsychological Test Automated Battery for Alzheimer disease'?","A. A screening examination that assesses cognition in a brief but quantitative fashion, uses independent tests to evaluate functioning within five major cognitive ability areas: language, constructions, memory, calculations, and reasoning.

B. Measures basic skills in reading, arithmetic, and spelling. It is a screening test that can be administered to determine if a more comprehensive achievement test is needed.

C. A short screening test that evaluates language skills and it consists of Semantic verbal Fluency Tests (SFT) and Categorical verbal Fluency Tests (CFT).

D. A tool to assess cognitive functions in diverse neurological and psychiatric disorders, such as dementia, schizophrenia, depression, Parkinson's Disease.",D,1_1,Cambridge Neuropsychological Test Automated Battery for Alzheimer disease,http://purl.obolibrary.org/obo/ADO_0000075,7,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'caffeine consumption'?","A. A manner of living that reflects the person's values and attitudes.

B. A behavior of consuming caffeine-containing products such as coffee, tea, cacao, energy drinks

C. ""Behavior related to the intake of nicotine."" [NBOC:GVG]

D. Consumption of liquids containing ethanol, including the behaviors associated with drinking the alcohol.",B,1_1,caffeine consumption,http://purl.obolibrary.org/obo/ADO_0000076,7,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'traumatic brain injury'?","A. A disease that manifests in a defined anatomical structure.

B. A disease of anatomical entity that is located_in the central nervous system or located_in the peripheral nervous system.

C. Traumatic brain injury usually results from a violent blow or jolt to the head or body. An object that goes through brain tissue, such as a bullet or shattered piece of skull, also can cause traumatic brain injury.

D. A disease of anatomical entity that occurs in the muscular and/or skeletal system.",C,1_1,traumatic brain injury,http://purl.obolibrary.org/obo/ADO_0000082,8,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'medical intervention'?","A. medical intervention is a planned process that has the goal of diagnosing, preventing or relieving illness or injury.

B. A planned process whose completion is hypothesized by a health care provider to eliminate, prevent, or alleviate the signs and symptoms of a disorder or pathological process

C. A planned process which results in physical changes in a specified input material

D. A process that realizes a plan which is the concretization of a plan specification.",A,1_1,medical intervention,http://purl.obolibrary.org/obo/OAE_0000002,5,"Health & Medicine, Alzheimer Disease Ontology"
"In the ontology of Alzheimer's Disease, which of the following definitions best describes 'phospatidylinositol signalling'?","A. An internal signaling process in response to extracellular signals through which phosphatidylinositols undergo rapid turnover and generate second messengers including diacylglycerol, inositol 1,4,5-trisphosphate, phosphatidylinositol 3,4-bisphosphate (PtdIns 3,4P2) and phosphatidylinositol 3,4,5-trisphosphate.

B. a signaling process that is initiated through binding and activation of its cell-surface receptor and initiates a cascade of phosphorylation and dephosphorylation events, second-messenger generation, and protein-protein interactions that result in diverse metabolic events in almost every tissue

C. A signaling process through which neurotrophins modulate long-term potentiation, dendritic complexity and axon branching, processes that promote synaptic efficacy and thus learning and memory.

D. The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered.",A,1_1,phospatidylinositol signalling,http://purl.obolibrary.org/obo/ADO_0000094,6,"Health & Medicine, Alzheimer Disease Ontology"
