question,options,answer,task_label,label,iri,depth,domain
"In the ontology of International Classification of Disease, which of the following definitions best describes 'continuant'?","A. A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.

B. An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.

C. A continuant that inheres in or is borne by other entities. Every instance of A requires some specific instance of B which must always be the same.

D. An entity that has temporal parts and that happens, unfolds or develops through time.",B,1_1,continuant,http://purl.obolibrary.org/obo/BFO_0000002,2,"Health & Medicine, International Classification of Disease Ontology"
"In the ontology of International Classification of Disease, which of the following definitions best describes 'realizable entity'?","A. patient kept under observation for suspected disease/condition

B. A continuant that inheres in or is borne by other entities. Every instance of A requires some specific instance of B which must always be the same.

C. A realizable entity the manifestation of which brings about some result or end that is not essential to a continuant in virtue of the kind of thing that it is but that can be served or participated in by that kind of continuant in some kinds of natural, social or institutional contexts.

D. A specifically dependent continuant that inheres in continuant entities and are not exhibited in full at every time in which it inheres in an entity or group of entities. The exhibition or actualization of a realizable entity is a particular manifestation, functioning or process that occurs under certain circumstances.",D,1_1,realizable entity,http://purl.obolibrary.org/obo/BFO_0000017,4,"Health & Medicine, International Classification of Disease Ontology"
"In the ontology of International Classification of Disease, which of the following definitions best describes 'role'?","A. A realizable entity the manifestation of which brings about some result or end that is not essential to a continuant in virtue of the kind of thing that it is but that can be served or participated in by that kind of continuant in some kinds of natural, social or institutional contexts.

B. When water content of the body cartilage increases and the protein makeup of cartilage degenerates

C. Muscle tissue is a contractile tissue made up of actin and myosin fibers[GO].

D. A specifically dependent continuant that inheres in continuant entities and are not exhibited in full at every time in which it inheres in an entity or group of entities. The exhibition or actualization of a realizable entity is a particular manifestation, functioning or process that occurs under certain circumstances.",A,1_1,role,http://purl.obolibrary.org/obo/BFO_0000023,5,"Health & Medicine, International Classification of Disease Ontology"
"In the ontology of International Classification of Disease, which of the following definitions best describes 'process profile'?","A. b is a process_profile =Def. there is some process c such that b process_profile_of c (axiom label in BFO2 Reference: [093-002])

B. A process occurring within or in the vicinity of an organism that exerts some causal influence on the organism via the interaction between an exposure stimulus and an exposure receptor. The exposure stimulus may be a process, material entity or condition (for example, lack of nutrients). The exposure receptor can be an organism, organism population or a part of an organism.

C. An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t.

D. ICDO: International Classification of Diseases Ontology",A,1_1,process profile,http://purl.obolibrary.org/obo/BFO_0000144,4,"Health & Medicine, International Classification of Disease Ontology"
"In the ontology of International Classification of Disease, which of the following definitions best describes 'disease process'?","A. Disease process is the progression disease in an individual over time. The process begins with the appropriate exposure to or accumulation of factors sufficient for the disease process to begin in a susceptible host. For an infectious disease, the exposure is a microorganism. For cancer, the exposure may be a factor that initiates the process, such as asbestos fibers or components in tobacco smoke (for lung cancer), or one that promotes the process, such as estrogen (for endometrial cancer).

B. any health problem that occurs in the digestive tract.

C. TODO: Define.

D. Diseases and conditions affecting the skin and subcutaneous tissue",A,1_1,disease process,http://purl.obolibrary.org/obo/ICDO_0000001,6,"Health & Medicine, International Classification of Disease Ontology"
"In the ontology of International Classification of Disease, which of the following definitions best describes 'pathological bodily process'?","A. A bodily process that is clinically abnormal.

B. A pathological bodily process in which matter is reorganized in such a way as to give rise to new pathological formations which take the place of entities existing earlier.

C. A pathological bodily process in which a canonical anatomical structure becomes a pathological anatomical structure.

D. Disease process is the progression disease in an individual over time. The process begins with the appropriate exposure to or accumulation of factors sufficient for the disease process to begin in a susceptible host. For an infectious disease, the exposure is a microorganism. For cancer, the exposure may be a factor that initiates the process, such as asbestos fibers or components in tobacco smoke (for lung cancer), or one that promotes the process, such as estrogen (for endometrial cancer).",A,1_1,pathological bodily process,http://purl.obolibrary.org/obo/OGMS_0000061,5,"Health & Medicine, International Classification of Disease Ontology"
"In the ontology of International Classification of Disease, which of the following definitions best describes 'deformity DP'?","A. A disease process that has the outcome of the formation of a cyst

B. is a major abnormality in the shape of a body part or organ compared to the normal shape of that part.

C. An anatomical structure that develops (entirely or partially) from the endoderm.

D. A hernia occurs when an organ pushes through an opening in the muscle or tissue that holds it in place. For example, the intestines may break through a weakened area in the abdominal wall.	Hernias are most common in the abdomen, but they can also appear in the upper thigh, belly button, and groin areas. Most hernias aren’t immediately life-threatening, but they don’t go away on their own. Sometimes they can require surgery to prevent potentially dangerous complications.",B,1_1,deformity DP,http://purl.obolibrary.org/obo/ICDO_0000013,8,"Health & Medicine, International Classification of Disease Ontology"
"In the ontology of International Classification of Disease, which of the following definitions best describes 'pinna'?","A. Anatomical structure that is part of the head consisting entirely of cranium and mandible[WP].

B. The part of the ear that projects from the head, connecting to the external acoustic meatus.

C. A myogenic muscular circulatory organ found in the vertebrate cardiovascular system composed of chambers of cardiac muscle. It is the primary circulatory organ.

D. Part of the ear external to the tympanum (eardrum). It typically consists of a tube (the external auditory meatus) that directs sound waves on to the tympanum, and may also include the external pinna, which extends beyond the skull[GO].",B,1_1,pinna,http://purl.obolibrary.org/obo/UBERON_0001757,9,"Health & Medicine, International Classification of Disease Ontology"
"In the ontology of International Classification of Disease, which of the following definitions best describes 'otitis anatomical entity'?","A. inflammatory anatomical entity that is located in ear

B. inflammatory anatomical entity that is located in a cellulite

C. inflammatiory anatomical entity in the membrane of cartilage tissue

D. a physical pathological anatomic entity that is a result of an inflammation process",A,1_1,otitis anatomical entity,http://purl.obolibrary.org/obo/ICDO_0000019,8,"Health & Medicine, International Classification of Disease Ontology"
"In the ontology of International Classification of Disease, which of the following definitions best describes 'pathological anatomical entity'?","A. is a pathological anatomical structures transformed from pathological continuant entities.

B. is a type of abnormal and excessive growth, called neoplasia, of tissue. The growth of a neoplasm is uncoordinated with that of the normal surrounding tissue, and it persists growing abnormally, even if the original trigger is removed.[1][2][3] This abnormal growth usually (but not always) forms a mass.[4] When it forms a mass, it may be called a tumor.

C. Pseudocysts are like cysts, but lack epithelial or endothelial cells. Initial management consists of general supportive care. Symptoms and complications caused by pseudocysts require surgery. Computed tomography (CT) scans are used for initial imaging of cysts, and endoscopic ultrasounds are used in differentiating between cysts and pseudocysts. Endoscopic drainage is a popular and effective method of treating pseudocysts.		This is not to be confused with the so-called ""pseudocystic appearance"", mainly radiographically, of other lesions, such as Stafne static bone cyst and aneurysmal bone cyst[1] of the jaws.

D. is a condition in which an orifice or passage in the body is (usually abnormally) closed or absent. Examples of atresia include: Biliary atresia, a condition in newborns in which the common bile duct between the liver and the small intestine is blocked or absent.",A,1_1,pathological anatomical entity,http://purl.obolibrary.org/obo/ICDO_0000082,6,"Health & Medicine, International Classification of Disease Ontology"
